region,invest_field,year,investment
Вінницька,Інженерні споруди  ,2022,1639860
Вінницька,Земля  ,2022,61946
Вінницька,"Машини, обладнання та  інвентар  ",2022,5740826
Вінницька,Будівлі житлові  ,2022,867704
Вінницька,Програмне забезпечення та бази даних ,2022,80195
Вінницька,Інші матеріальні активи,2022,714443
Вінницька,Транспортні засоби  ,2022,1973404
Вінницька,Будівлі нежитлові  ,2022,2564027
Вінницька,Довгострокові біологічні активи рослинництва та тваринництва  ,2022,259704
Вінницька,"Права на комерційні позначення, об'єкти промислової власності, авторське право та суміжні з ним права (уключаючи розважальні програми й оригінали літературних і художніх творів), патенти, ліцензії, концесії тощо ",2022,82630
Волинська,"Машини, обладнання та  інвентар  ",2022,3582439
Волинська,Інженерні споруди  ,2022,616821
Волинська,Інші матеріальні активи,2022,438497
Волинська,Земля  ,2022,68419
Волинська,Програмне забезпечення та бази даних ,2022,35099
Волинська,Будівлі нежитлові  ,2022,1139439
Волинська,Транспортні засоби  ,2022,2023421
Волинська,"Права на комерційні позначення, об'єкти промислової власності, авторське право та суміжні з ним права (уключаючи розважальні програми й оригінали літературних і художніх творів), патенти, ліцензії, концесії тощо ",2022,2260
Волинська,Довгострокові біологічні активи рослинництва та тваринництва  ,2022,55170
Волинська,Будівлі житлові  ,2022,1542316
Дніпропетровська,"Права на комерційні позначення, об'єкти промислової власності, авторське право та суміжні з ним права (уключаючи розважальні програми й оригінали літературних і художніх творів), патенти, ліцензії, концесії тощо ",2022,509992
Дніпропетровська,Земля  ,2022,50206
Дніпропетровська,Інженерні споруди  ,2022,10287603
Дніпропетровська,Програмне забезпечення та бази даних ,2022,581442
Дніпропетровська,Будівлі житлові  ,2022,365162
Дніпропетровська,Будівлі нежитлові  ,2022,5865267
Дніпропетровська,Інші матеріальні активи,2022,2237914
Дніпропетровська,Довгострокові біологічні активи рослинництва та тваринництва  ,2022,67273
Дніпропетровська,Транспортні засоби  ,2022,3204690
Дніпропетровська,"Машини, обладнання та  інвентар  ",2022,16942195
Житомирська,Програмне забезпечення та бази даних ,2022,27231
Житомирська,Будівлі нежитлові  ,2022,1012266
Житомирська,Інші матеріальні активи,2022,240073
Житомирська,Земля  ,2022,3112
Житомирська,"Машини, обладнання та  інвентар  ",2022,2647895
Житомирська,Інженерні споруди  ,2022,813586
Житомирська,"Права на комерційні позначення, об'єкти промислової власності, авторське право та суміжні з ним права (уключаючи розважальні програми й оригінали літературних і художніх творів), патенти, ліцензії, концесії тощо ",2022,3269
Житомирська,Довгострокові біологічні активи рослинництва та тваринництва  ,2022,114083
Житомирська,Будівлі житлові  ,2022,338552
Житомирська,Транспортні засоби  ,2022,882529
Закарпатська,"Машини, обладнання та  інвентар  ",2022,1872245
Закарпатська,Довгострокові біологічні активи рослинництва та тваринництва  ,2022,2904
Закарпатська,Будівлі нежитлові  ,2022,1173931
Закарпатська,"Права на комерційні позначення, об'єкти промислової власності, авторське право та суміжні з ним права (уключаючи розважальні програми й оригінали літературних і художніх творів), патенти, ліцензії, концесії тощо ",2022,4719
Закарпатська,Транспортні засоби  ,2022,816814
Закарпатська,Земля  ,2022,76779
Закарпатська,Будівлі житлові  ,2022,1319509
Закарпатська,Інженерні споруди  ,2022,1111325
Закарпатська,Програмне забезпечення та бази даних ,2022,43611
Закарпатська,Інші матеріальні активи,2022,386109
Запорізька,"Машини, обладнання та  інвентар  ",2022,3265196
Запорізька,Транспортні засоби  ,2022,720985
Запорізька,Земля  ,2022,302
Запорізька,Інші матеріальні активи,2022,677386
