"Показник","Показник","Територіальний розріз","Територіальний розріз","Категорія розрізу","Категорія розрізу","Розріз","Розріз","Періодичність","Періодичність","Період","Значення cпостереження","Одиниця виміру","Одиниця виміру","Масштабування","Масштабування","Кількість десяткових знаків","Кількість десяткових знаків","Спеціальне значення даних","Спеціальне значення даних","Примітки набору даних","Примітки часового ряду","Примітки спостереження"
"AGRICULTURE_OUTPUT_CURR","Випуск сільського господарства (у фактичних цінах)","UA00000000000000000","Україна","TYPES_GROUPS_PROD_ACT","Види (групи) продукції (діяльності)","MILK","Молоко","A","Річна","2014","34231","1090","Гривня","6","Мільйони","0","Нуль","","","","Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях.",""
"AGRICULTURE_OUTPUT_CURR","Випуск сільського господарства (у фактичних цінах)","UA00000000000000000","Україна","TYPES_GROUPS_PROD_ACT","Види (групи) продукції (діяльності)","MILK","Молоко","A","Річна","2015","40755","1090","Гривня","6","Мільйони","0","Нуль","","","","Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях.",""
"AGRICULTURE_OUTPUT_CURR","Випуск сільського господарства (у фактичних цінах)","UA00000000000000000","Україна","TYPES_GROUPS_PROD_ACT","Види (групи) продукції (діяльності)","MILK","Молоко","A","Річна","2016","46235","1090","Гривня","6","Мільйони","0","Нуль","","","","Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях.",""
"AGRICULTURE_OUTPUT_CURR","Випуск сільського господарства (у фактичних цінах)","UA00000000000000000","Україна","TYPES_GROUPS_PROD_ACT","Види (групи) продукції (діяльності)","MILK","Молоко","A","Річна","2017","60620","1090","Гривня","6","Мільйони","0","Нуль","","","","Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях.",""
"AGRICULTURE_OUTPUT_CURR","Випуск сільського господарства (у фактичних цінах)","UA00000000000000000","Україна","TYPES_GROUPS_PROD_ACT","Види (групи) продукції (діяльності)","MILK","Молоко","A","Річна","2018","64091","1090","Гривня","6","Мільйони","0","Нуль","","","","Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях.",""
"AGRICULTURE_OUTPUT_CURR","Випуск сільського господарства (у фактичних цінах)","UA00000000000000000","Україна","TYPES_GROUPS_PROD_ACT","Види (групи) продукції (діяльності)","MILK","Молоко","A","Річна","2019","65846","1090","Гривня","6","Мільйони","0","Нуль","","","","Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях.",""
"AGRICULTURE_OUTPUT_CURR","Випуск сільського господарства (у фактичних цінах)","UA00000000000000000","Україна","TYPES_GROUPS_PROD_ACT","Види (групи) продукції (діяльності)","MILK","Молоко","A","Річна","2020","66721","1090","Гривня","6","Мільйони","0","Нуль","","","","Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях.",""
"AGRICULTURE_OUTPUT_CURR","Випуск сільського господарства (у фактичних цінах)","UA00000000000000000","Україна","TYPES_GROUPS_PROD_ACT","Види (групи) продукції (діяльності)","MILK","Молоко","A","Річна","2021","75252","1090","Гривня","6","Мільйони","0","Нуль","","","","Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях.",""
"AGRICULTURE_OUTPUT_CURR","Випуск сільського господарства (у фактичних цінах)","UA00000000000000000","Україна","TYPES_GROUPS_PROD_ACT","Види (групи) продукції (діяльності)","MILK","Молоко","A","Річна","2022","71038","1090","Гривня","6","Мільйони","0","Нуль","","","","Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях.",""
"AGRICULTURE_OUTPUT_CURR","Випуск сільського господарства (у фактичних цінах)","UA00000000000000000","Україна","TYPES_GROUPS_PROD_ACT","Види (групи) продукції (діяльності)","SUNFLOWER_SEEDS","Насіння соняшнику","A","Річна","2014","36577","1090","Гривня","6","Мільйони","0","Нуль","","","","Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях.",""
"AGRICULTURE_OUTPUT_CURR","Випуск сільського господарства (у фактичних цінах)","UA00000000000000000","Україна","TYPES_GROUPS_PROD_ACT","Види (групи) продукції (діяльності)","SUNFLOWER_SEEDS","Насіння соняшнику","A","Річна","2015","81542","1090","Гривня","6","Мільйони","0","Нуль","","","","Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях.",""
"AGRICULTURE_OUTPUT_CURR","Випуск сільського господарства (у фактичних цінах)","UA00000000000000000","Україна","TYPES_GROUPS_PROD_ACT","Види (групи) продукції (діяльності)","SUNFLOWER_SEEDS","Насіння соняшнику","A","Річна","2016","111304","1090","Гривня","6","Мільйони","0","Нуль","","","","Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях.",""
"AGRICULTURE_OUTPUT_CURR","Випуск сільського господарства (у фактичних цінах)","UA00000000000000000","Україна","TYPES_GROUPS_PROD_ACT","Види (групи) продукції (діяльності)","SUNFLOWER_SEEDS","Насіння соняшнику","A","Річна","2017","103437","1090","Гривня","6","Мільйони","0","Нуль","","","","Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях.",""
