Країна,Показник(англ),Показник,Категорія розрізу(англ),Категорія розрізу, Види діяльності,Види продукції,Види продуктів,Групи продуктів,Розріз(англ),Продукти,Рік,Значення в нац. валюті(млн),Курс НБ,Значення в $(млн)
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск тваринництва,Продукти тваринництва,MILK,Молоко,2014,34231,"15,77","2170,640457"
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск тваринництва,Продукти тваринництва,MILK,Молоко,2015,40755,24,"1698,125"
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск тваринництва,Продукти тваринництва,MILK,Молоко,2016,46235,"27,19","1700,441339"
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск тваринництва,Продукти тваринництва,MILK,Молоко,2017,60620,"28,07","2159,600998"
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск тваринництва,Продукти тваринництва,MILK,Молоко,2018,64091,"27,69","2314,590105"
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск тваринництва,Продукти тваринництва,MILK,Молоко,2019,65846,"23,69","2779,485015"
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск тваринництва,Продукти тваринництва,MILK,Молоко,2020,66721,"28,27","2360,134418"
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск тваринництва,Продукти тваринництва,MILK,Молоко,2021,75252,"27,28","2758,504399"
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск тваринництва,Продукти тваринництва,MILK,Молоко,2022,71038,"36,57","1942,521192"
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск рослинництва,Технічні культури,SUNFLOWER_SEEDS,Насіння соняшнику,2014,36577,"15,77","2319,403932"
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск рослинництва,Технічні культури,SUNFLOWER_SEEDS,Насіння соняшнику,2015,81542,24,"3397,583333"
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск рослинництва,Технічні культури,SUNFLOWER_SEEDS,Насіння соняшнику,2016,111304,"27,19","4093,56381"
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск рослинництва,Технічні культури,SUNFLOWER_SEEDS,Насіння соняшнику,2017,103437,"28,07","3684,966156"
