indicator,region,source,hazard_class,category,subcategory,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,years_with_data
Обсяг утворених відходів,Україна,Загалом,I-IV. Відходи в цілому,За категоріями відходів за матеріалом (МП),Деревні відходи,683100.0,933800.0,779900.0,829800.0,827900.0,750100.0,697700.0,650600.0,659100.0,544400.0,10
Обсяг утворених відходів,Україна,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",I-IV. Відходи в цілому,За видами КВЕД,"Водопостачання; каналізація, поводження з відходами",594200.0,457400.0,408700.0,397400.0,,338300.0,,520700.00000000006,506600.0,562800.0,8
Обсяг утворених відходів,Україна,Загалом,I-IV. Відходи в цілому,За категоріями відходів за матеріалом (МП),Скляні відходи,22300.0,25800.0,34300.0,41900.0,19800.0,21000.0,23600.0,11600.0,14300.0,12600.0,10
Обсяг утворених відходів,Україна,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",I-III. Небезпечні відходи,За видами КВЕД,"Забір, очищення та постачання води",400.0,500.0,300.0,4600.0,,14700.0,,100.0,200.0,100.0,8
Обсяг утворених відходів,Україна,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",IV. Не небезпечні відходи,За видами КВЕД,Інші види економічної діяльності,1006900.0,967800.0,967800.0,728900.0,,,,1463900.0,859600.0,1259600.0,7
Обсяг утворених відходів,Україна,Загалом,I-IV. Відходи в цілому,За категоріями відходів за матеріалом (МП),Осад промислових стоків,3209900.0,3919800.0,3648700.0,3630300.0,3346100.0,3462100.0,3258300.0,442100.0,759700.0,425800.0,10
Обсяг утворених відходів,Україна,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",I-IV. Відходи в цілому,За видами КВЕД,"Сільське господарство, лісове господарство та рибне господарство",8736800.0,8715500.0,6188200.0,5968100.0,,5315400.0,,4240000.0,5450400.0,3442100.0,8
Обсяг утворених відходів,Україна,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",I-IV. Відходи в цілому,За видами КВЕД,Інша діяльність щодо поводження з відходами,2000.0,2500.0,2000.0,2300.0,,2100.0,,2000.0,6500.0,8700.0,8
Обсяг утворених відходів,Україна,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",IV. Не небезпечні відходи,За видами КВЕД,"Збирання, оброблення й видалення відходів; відновлення матеріалів",176900.0,109300.0,109300.0,70000.0,,10200.0,,167500.0,106400.0,112900.0,8
Обсяг утворених відходів,Україна,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",IV. Не небезпечні відходи,За видами КВЕД,"Каналізація, відведення й очищення стічних вод",14500.0,57300.0,57300.0,109700.0,,94900.0,,223300.0,242000.0,259500.0,8
Обсяг утворених відходів,Україна,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",I-III. Небезпечні відходи,За видами КВЕД,"Водопостачання; каналізація, поводження з відходами",3600.0,3100.0,1400.0,7200.0,,14900.0,,500.0,400.0,300.0,8
Обсяг утворених відходів,Україна,Загалом,I-IV. Відходи в цілому,За категоріями відходів за матеріалом (МП),Відходи тваринного походження та змішані харчові відходи,897000.0,990600.0,587600.0,607500.0,441000.0,405400.0,353800.0,282300.0,241600.0,136000.0,10
